"window","uni","multi","mae","nmae"
"rolling","rvm","rvm","748.13","10.04"
"rolling","rvm","ksvm","583.97","7.84"
"rolling","ksvm","lm","551.16","7.4"
"rolling","ksvm","mlpe","718.46","9.64"
"rolling","ksvm","naive","644.9","8.66"
"rolling","ksvm","ctree","729.04","9.78"
"rolling","ksvm","mlp","630.06","8.46"
"rolling","ksvm","randomForest","661.23","8.87"
"rolling","ksvm","mr","554.68","7.44"
"rolling","ksvm","rvm","719.32","9.65"
"rolling","ksvm","ksvm","567.03","7.61"
"rolling","HW","lm","569.6","7.64"
"rolling","HW","mlpe","599.71","8.05"
"rolling","HW","naive","637.27","8.55"
"rolling","HW","ctree","767.55","10.3"
"rolling","HW","mlp","704.74","9.46"
"rolling","HW","randomForest","691.33","9.28"
"rolling","HW","mr","569.6","7.64"
"rolling","HW","rvm","756.64","10.15"
"rolling","HW","ksvm","647.2","8.69"
"rolling","Arima","lm","690.33","9.26"
"rolling","Arima","mlpe","725.47","9.74"
"rolling","Arima","naive","643.29","8.63"
"rolling","Arima","ctree","746.15","10.01"
"rolling","Arima","mlp","962.14","12.91"
"rolling","Arima","randomForest","718.62","9.64"
"rolling","Arima","mr","690.33","9.26"
"rolling","Arima","rvm","696.88","9.35"
"rolling","Arima","ksvm","582.02","7.81"
"rolling","NN","lm","612.98","8.23"
"rolling","NN","mlpe","685.05","9.19"
"rolling","NN","naive","637.27","8.55"
"rolling","NN","ctree","831.8","11.16"
"rolling","NN","mlp","573.21","7.69"
"rolling","NN","randomForest","720.4","9.67"
"rolling","NN","mr","613.52","8.23"
"rolling","NN","rvm","572.25","7.68"
"rolling","NN","ksvm","664.7","8.92"
"rolling","ETS","lm","581.44","7.8"
"rolling","ETS","mlpe","619.92","8.32"
"rolling","ETS","naive","643.29","8.63"
"rolling","ETS","ctree","628.71","8.44"
"rolling","ETS","mlp","776.79","10.43"
"rolling","ETS","randomForest","615.82","8.26"
"rolling","ETS","mr","581.44","7.8"
"rolling","ETS","rvm","576.04","7.73"
"rolling","ETS","ksvm","467.67","6.28"
