"date";"all";"female";"male";"young";"adult";"weather";"maxtemp";"RH";"maxwind"
"2013-10-30";1933;799;1034;874;1059;"Sunny";14;62;34
"2013-10-31";1389;596;748;568;821;"Sunny";14;64;27
"2013-11-01";2796;1169;1470;1142;1654;"Sunny";16;83;32
"2013-11-02";4180;1926;2052;1975;2205;"Sunny";17;88;0
"2013-11-03";4148;1766;2163;1879;2269;"Sunny";18;79;0
"2013-11-04";2748;1156;1446;1003;1745;"Sunny";16;79;0
"2013-11-05";2522;1027;1378;966;1556;"Rain";17;87;0
"2013-11-06";2424;993;1315;948;1476;"Sunny";17;76;0
"2013-11-07";2450;1039;1298;999;1451;"Sunny";17;80;0
"2013-11-08";3407;1431;1801;1489;1918;"Sunny";16;94;0
"2013-11-09";4314;1948;2159;1980;2334;"Sunny";14;76;0
"2013-11-10";5187;2312;2639;2226;2961;"Sunny";16;82;0
"2013-11-11";2411;930;1365;949;1462;"Sunny";16;75;0
"2013-11-12";2173;840;1235;845;1328;"Sunny";17;72;48
"2013-11-13";2315;976;1234;947;1368;"Sunny";16;73;42
"2013-11-14";2066;780;1196;882;1184;"Sunny";17;55;53
"2013-11-15";3691;1425;2088;1608;2083;"Sunny";13;56;0
"2013-11-16";7719;3549;3768;3889;3830;"Sunny";10;63;50
"2013-11-17";6165;2542;3294;2953;3212;"Sunny";11;69;0
"2013-11-18";3469;1371;1918;1497;1972;"Rain";13;74;0
"2013-11-19";2847;1170;1500;1261;1586;"Sunny";13;78;52
"2013-11-20";3295;1341;1787;1518;1777;"Sunny";10;64;29
"2013-11-21";2638;1061;1464;1226;1412;"Rain";9;79;0
"2013-11-22";3459;1377;1929;1584;1875;"Rain";11;99;0
"2013-11-23";4860;2184;2400;2442;2418;"Sunny";10;84;0
"2013-11-24";5179;2317;2605;2661;2518;"Sunny";9;58;0
"2013-11-25";2642;1082;1401;1150;1492;"Sunny";10;56;0
"2013-11-26";2551;1015;1400;1246;1305;"Sunny";10;57;37
"2013-11-27";2347;899;1327;1136;1211;"Sunny";9;58;0
"2013-11-28";2863;1238;1501;1430;1433;"Sunny";8;60;0
"2013-11-29";3875;1789;1891;1962;1913;"Sunny";11;62;0
"2013-11-30";6107;2854;2887;3214;2893;"Sunny";10;69;0
"2013-12-01";4857;2289;2305;2476;2381;"Sunny";10;54;45
"2013-12-02";3365;1705;1495;1594;1771;"Sunny";9;58;0
"2013-12-03";2938;1440;1348;1318;1620;"Sunny";9;60;35
"2013-12-04";3119;1540;1437;1405;1714;"Sunny";11;62;34
"2013-12-05";3436;1811;1484;1576;1860;"Sunny";12;70;35
"2013-12-06";2343;1409;855;1150;1193;"Sunny";11;67;0
"2013-12-07";5579;2855;2429;2972;2607;"Sunny";9;72;34
"2013-12-08";4796;2235;2284;2489;2307;"Rain";7;83;0
"2013-12-09";2620;1080;1376;1375;1245;"Rain";8;83;39
"2013-12-10";2663;1153;1373;1284;1379;"Sunny";10;75;37
"2013-12-11";2817;1189;1466;1387;1430;"Rain";12;80;0
"2013-12-12";3767;1708;1885;1933;1834;"Sunny";13;81;32
"2013-12-13";6804;3043;3399;3475;3329;"Rain";13;94;29
"2013-12-14";11110;5246;5259;5953;5157;"Rain";13;83;48
"2013-12-15";4974;2299;2390;2680;2294;"Sunny";11;83;35
"2013-12-16";3228;1442;1606;1625;1603;"Sunny";10;87;32
"2013-12-17";3191;1427;1627;1688;1503;"Rain";11;90;24
"2013-12-18";4153;2035;1880;2208;1945;"Rain";10;93;0
"2013-12-19";4307;2043;2028;2282;2025;"Rain";12;86;74
"2013-12-20";4660;2207;2227;2441;2219;"Sunny";9;69;0
"2013-12-21";6193;2894;2967;3115;3078;"Sunny";9;68;0
