,date,all,female,male,young,adult,weather,maxtemp,RH,maxwind,holiday
101,2013-07-18,3767.0,1769.0,1813,1725,2042.0,Sunny,23,80,35,0
102,2013-07-19,3718.0,1725.0,1814,1687,2031.0,Sunny,22,73,39,0
103,2013-07-20,4426.0,2087.0,2113,2057,2369.0,Sunny,21,71,0,0
104,2013-07-21,4602.0,2134.0,2200,2122,2480.0,Sunny,21,68,0,0
105,2013-07-22,3841.0,1741.0,1881,1684,2157.0,Sunny,22,69,50,0
106,2013-07-23,3815.0,1713.0,1881,1678,2137.0,Sunny,22,64,40,0
107,2013-07-24,4031.0,1825.0,1994,1739,2292.0,Sunny,23,69,32,0
108,2013-07-25,4914.0,2157.0,2484,2152,2762.0,Sunny,21,73,0,0
109,2013-07-26,4436.0,2031.0,2173,2019,2417.0,Sunny,20,70,0,0
110,2013-07-27,4898.0,2182.0,2476,2211,2687.0,Sunny,20,69,0,0
111,2013-07-28,5284.0,2445.0,2574,2331,2953.0,Rain,21,74,0,0
112,2013-07-29,4027.0,1846.0,1945,1801,2226.0,Rain,21,72,27,0
113,2013-07-30,4207.0,1946.0,2049,1882,2325.0,Sunny,26,54,40,0
114,2013-07-31,4172.0,1883.0,2088,1893,2279.0,Sunny,26,56,42,0
115,2013-08-01,4382.0,2023.0,2120,1962,2420.0,Sunny,23,66,0,0
116,2013-08-02,5723.0,2660.0,2724,2582,3141.0,Sunny,22,67,0,0
117,2013-08-03,7961.0,3693.0,3761,3496,4465.0,Sunny,21,68,42,0
118,2013-08-04,9371.0,4314.0,4448,4131,5240.0,Sunny,22,66,0,0
119,2013-08-05,4581.0,2095.0,2255,2021,2560.0,Sunny,22,71,0,0
120,2013-08-06,4337.0,1979.0,2132,1914,2423.0,Sunny,22,71,0,0
121,2013-08-07,4267.0,2026.0,2010,1928,2339.0,Sunny,21,70,0,0
122,2013-08-08,3801.0,1747.0,1854,1715,2086.0,Sunny,22,61,0,0
123,2013-08-09,3973.0,1860.0,1891,1770,2203.0,Sunny,28,39,39,0
124,2013-08-10,4292.0,2100.0,1963,1943,2349.0,Sunny,30,33,39,0
125,2013-08-11,3889.0,1798.0,1877,1795,2094.0,Sunny,29,40,35,0
126,2013-08-12,4269.0,1987.0,2057,1914,2355.0,Sunny,23,73,0,0
127,2013-08-13,4047.0,1888.0,1961,1852,2195.0,Sunny,24,71,37,0
128,2013-08-14,4330.0,2023.0,2066,1945,2385.0,Sunny,26,66,34,0
129,2013-08-15,9163.0,4189.0,4455,4005,5158.0,Sunny,26,70,32,1
130,2013-08-16,3895.0,1758.0,1909,1827,2068.0,Sunny,22,69,45,0
131,2013-08-17,3955.0,1867.0,1878,1809,2146.0,Sunny,23,71,52,0
132,2013-08-18,4345.0,1971.0,2132,1942,2403.0,Sunny,23,69,0,0
133,2013-08-19,4171.0,1943.0,2008,1859,2312.0,Sunny,27,52,0,0
134,2013-08-20,3612.0,1631.0,1782,1694,1918.0,Sunny,28,31,29,1
135,2013-08-21,3530.0,1651.0,1709,1681,1849.0,Sunny,26,54,29,0
136,2013-08-22,3604.0,1754.0,1670,1693,1911.0,Sunny,24,66,0,1
137,2013-08-23,3834.0,1743.0,1881,1764,2070.0,Sunny,22,68,52,0
138,2013-08-24,4429.0,2168.0,2030,2139,2290.0,Sunny,22,72,50,0
139,2013-08-25,3829.0,1781.0,1844,1737,2092.0,Sunny,24,59,37,0
140,2013-08-26,3964.0,1862.0,1894,1792,2172.0,Sunny,22,65,34,0
141,2013-08-27,8300.0,3842.0,3850,3503,4797.0,Sunny,23,66,34,0
142,2013-08-28,4981.0,2339.0,2354,2201,2780.0,Sunny,23,55,35,0
143,2013-08-29,3810.0,1750.0,1826,1807,2003.0,Sunny,23,53,47,0
144,2013-08-30,3918.0,1869.0,1848,1806,2112.0,Sunny,24,48,40,0
145,2013-08-31,4408.0,1996.0,2128,2002,2406.0,Sunny,26,33,34,0
146,2013-09-01,4394.0,2078.0,2089,2066,2328.0,Sunny,26,34,0,0
147,2013-09-02,3932.0,1833.0,1889,1745,2187.0,Sunny,26,40,42,0
148,2013-09-03,4039.0,1863.0,1977,1805,2234.0,Sunny,27,37,37,0
149,2013-09-04,3696.0,1645.0,1860,1612,2084.0,Sunny,24,45,0,0
150,2013-09-05,3754.0,1668.0,1882,1644,2110.0,Sunny,23,63,37,0
151,2013-09-06,3791.0,1735.0,1860,1713,2078.0,Sunny,22,72,0,0
152,2013-09-07,5224.0,2459.0,2493,2395,2829.0,Sunny,20,70,0,1
153,2013-09-08,5325.0,2540.0,2518,2392,2933.0,Sunny,19,61,0,0
154,2013-09-09,3822.0,1811.0,1805,1759,2063.0,Sunny,21,54,0,0
155,2013-09-10,3667.0,1760.0,1705,1738,1929.0,Sunny,22,73,29,0
156,2013-09-11,4114.0,2004.0,1869,1833,2281.0,Sunny,24,57,35,0
157,2013-09-12,3605.0,1803.0,1600,1632,1973.0,Sunny,26,37,37,0
158,2013-09-13,4085.0,1895.0,1975,1845,2240.0,Sunny,26,33,0,0
159,2013-09-14,5673.0,2710.0,2640,2676,2997.0,Sunny,24,49,50,0
160,2013-09-15,4394.0,2376.0,2018,1873,2521.0,Sunny,22,73,0,1
161,2013-09-16,3932.0,2126.0,1806,1676,2256.0,Sunny,20,73,50,0
162,2013-09-17,4039.0,2184.0,1855,1722,2317.0,Sunny,21,70,0,0
163,2013-09-18,3696.0,1999.0,1697,1575,2121.0,Sunny,20,74,47,0
164,2013-09-19,3754.0,2030.0,1724,1600,2154.0,Sunny,22,68,0,0
165,2013-09-20,3791.0,2050.0,1741,1616,2175.0,Sunny,24,46,42,0
166,2013-09-21,5224.0,2825.0,2399,2227,2997.0,Sunny,24,42,35,1
167,2013-09-22,5325.0,2880.0,2445,2270,3055.0,Sunny,26,46,29,1
168,2013-09-23,3822.0,2067.0,1755,1629,2193.0,Sunny,22,68,37,0
169,2013-09-24,3667.0,1983.0,1684,1563,2104.0,Sunny,21,81,0,0
170,2013-09-25,4114.0,2225.0,1889,1754,2360.0,Rain,20,85,0,0
171,2013-09-26,3605.0,1949.0,1656,1537,2068.0,Rain,20,83,52,0
172,2013-09-27,2135.0,1016.0,1009,959,1176.0,Rain,21,86,64,0
173,2013-09-28,3954.0,1948.0,1786,1833,2121.0,Rain,19,91,55,0
174,2013-09-29,4712.0,2101.0,2333,2275,2437.0,Rain,19,92,0,0
175,2013-09-30,3232.0,1403.0,1675,1419,1813.0,Rain,20,99,0,0
176,2013-10-01,2905.0,1258.0,1503,1233,1672.0,Rain,20,97,48,0
177,2013-10-02,2668.0,1197.0,1340,1238,1430.0,Rain,20,93,40,0
178,2013-10-03,8270.0,3715.0,4142,3766,4504.0,Rain,20,84,0,0
179,2013-10-04,3047.0,1354.0,1534,1308,1739.0,Rain,19,86,0,0
180,2013-10-05,4439.0,2110.0,2110,2057,2382.0,Sunny,19,79,0,0
181,2013-10-06,15735.0,7645.0,7045,7495,8240.0,Sunny,21,68,39,0
182,2013-10-07,4205.0,1857.0,2081,1767,2438.0,Sunny,22,57,40,0
183,2013-10-08,1638.0,655.0,896,696,942.0,Sunny,22,53,42,0
184,2013-10-09,2564.0,1257.0,1178,1052,1512.0,Sunny,22,50,34,0
185,2013-10-10,2371.0,1139.0,1125,982,1389.0,Sunny,23,51,32,0
186,2013-10-11,2207.0,989.0,1107,1016,1191.0,Sunny,20,67,0,0
187,2013-10-12,4647.0,2172.0,2215,2200,2447.0,Sunny,17,71,0,0
188,2013-10-13,3866.0,1804.0,1859,1821,2045.0,Sunny,17,75,0,0
189,2013-10-14,1877.0,754.0,1030,809,1068.0,Sunny,18,88,24,0
190,2013-10-15,1754.0,680.0,975,746,1008.0,Rain,20,86,0,0
191,2013-10-16,1793.0,744.0,955,781,1012.0,Sunny,19,85,40,0
192,2013-10-17,1617.0,676.0,872,693,924.0,Rain,21,86,39,0
193,2013-10-18,4410.0,1922.0,2280,1939,2471.0,Rain,18,91,69,0
194,2013-10-19,2607.0,1070.0,1400,1208,1399.0,Rain,18,87,0,0
195,2013-10-20,2640.0,1072.0,1475,1172,1468.0,Rain,18,89,34,0
196,2013-10-21,2289.0,756.0,1414,816,1473.0,Rain,20,85,63,0
197,2013-10-22,1933.0,755.0,1107,769,1164.0,Rain,19,88,74,0
198,2013-10-23,2866.0,1041.0,1728,922,1944.0,Rain,19,92,0,0
199,2013-10-24,3630.0,1256.0,2216,1225,2405.0,Rain,19,94,66,0
200,2013-10-25,2975.0,1087.0,1773,1122,1853.0,Rain,17,89,0,0
201,2013-10-26,4327.0,1777.0,2319,1942,2385.0,Sunny,17,89,34,0
202,2013-10-27,3673.0,1504.0,2000,1521,2152.0,Rain,17,83,40,1
203,2013-10-28,2734.0,1086.0,1533,1064,1670.0,Rain,14,86,29,0
204,2013-10-29,2185.0,861.0,1218,961,1224.0,Sunny,14,69,0,0
205,2013-10-30,1933.0,799.0,1034,874,1059.0,Sunny,14,62,34,0
206,2013-10-31,1389.0,596.0,748,568,821.0,Sunny,14,64,27,0
207,2013-11-01,2796.0,1169.0,1470,1142,1654.0,Sunny,16,83,32,0
208,2013-11-02,4180.0,1926.0,2052,1975,2205.0,Sunny,17,88,0,0
209,2013-11-03,4148.0,1766.0,2163,1879,2269.0,Sunny,18,79,0,0
210,2013-11-04,2748.0,1156.0,1446,1003,1745.0,Sunny,16,79,0,0
211,2013-11-05,2522.0,1027.0,1378,966,1556.0,Rain,17,87,0,0
212,2013-11-06,2424.0,993.0,1315,948,1476.0,Sunny,17,76,0,0
213,2013-11-07,2450.0,1039.0,1298,999,1451.0,Sunny,17,80,0,0
214,2013-11-08,3407.0,1431.0,1801,1489,1918.0,Sunny,16,94,0,0
215,2013-11-09,4314.0,1948.0,2159,1980,2334.0,Sunny,14,76,0,0
216,2013-11-10,5187.0,2312.0,2639,2226,2961.0,Sunny,16,82,0,0
217,2013-11-11,2411.0,930.0,1365,949,1462.0,Sunny,16,75,0,0
218,2013-11-12,2173.0,840.0,1235,845,1328.0,Sunny,17,72,48,0
219,2013-11-13,2315.0,976.0,1234,947,1368.0,Sunny,16,73,42,0
220,2013-11-14,2066.0,780.0,1196,882,1184.0,Sunny,17,55,53,0
221,2013-11-15,3691.0,1425.0,2088,1608,2083.0,Sunny,13,56,0,0
222,2013-11-16,7719.0,3549.0,3768,3889,3830.0,Sunny,10,63,50,0
223,2013-11-17,6165.0,2542.0,3294,2953,3212.0,Sunny,11,69,0,0
224,2013-11-18,3469.0,1371.0,1918,1497,1972.0,Rain,13,74,0,0
225,2013-11-19,2847.0,1170.0,1500,1261,1586.0,Sunny,13,78,52,0
226,2013-11-20,3295.0,1341.0,1787,1518,1777.0,Sunny,10,64,29,0
227,2013-11-21,2638.0,1061.0,1464,1226,1412.0,Rain,9,79,0,0
228,2013-11-22,3459.0,1377.0,1929,1584,1875.0,Rain,11,99,0,0
229,2013-11-23,4860.0,2184.0,2400,2442,2418.0,Sunny,10,84,0,0
