"window","uni","multi","mae","nmae"
"rolling","HW","rvm","601.34","8.75"
"rolling","HW","ksvm","529.49","7.7"
"rolling","Arima","lm","600.56","8.74"
"rolling","Arima","mlpe","659","9.59"
"rolling","Arima","naive","533.8","7.76"
"rolling","Arima","ctree","675.35","9.82"
"rolling","Arima","mlp","1242.03","18.07"
"rolling","Arima","randomForest","659.07","9.59"
"rolling","Arima","mr","600.56","8.74"
"rolling","Arima","rvm","656.31","9.55"
"rolling","Arima","ksvm","544.73","7.92"
"rolling","NN","lm","531.16","7.73"
"rolling","NN","mlpe","585.49","8.52"
"rolling","NN","naive","532.22","7.74"
"rolling","NN","ctree","673.31","9.79"
"rolling","NN","mlp","590.82","8.59"
"rolling","NN","randomForest","623.83","9.07"
"rolling","NN","mr","529.09","7.7"
"rolling","NN","rvm","638.95","9.29"
"rolling","NN","ksvm","550.34","8.01"
"rolling","ETS","lm","529.1","7.7"
"rolling","ETS","mlpe","872.12","12.69"
"rolling","ETS","naive","533.8","7.76"
"rolling","ETS","ctree","564.5","8.21"
"rolling","ETS","mlp","676.07","9.83"
"rolling","ETS","randomForest","639.26","9.3"
"rolling","ETS","mr","529.1","7.7"
"rolling","ETS","rvm","603.69","8.78"
"rolling","ETS","ksvm","514.66","7.49"
